problem,n,m,success,objective,infeasibility,evaluations,time,exit_code,message
CRESC4,6,8,False,5.0228166991051395e-09,3312.013113437121,11,0.002165079116821289,3,Infeasible solution
CRESC50,6,100,False,5.0228166991051395e-09,11802.325664125454,11,0.023122310638427734,3,Infeasible solution
CSFI1,5,4,False,nan,nan,nan,nan,,Optimization error: 
CSFI2,5,4,False,nan,nan,nan,nan,,Optimization error: 
CUBE,2,0,True,1.8911841492691005e-11,0.0,35,0.0003705024719238281,3,Function tolerance reached
CUBENE,2,2,False,0.0,0.19410970515422932,37,0.0009739398956298828,3,Infeasible solution
DALLASM,196,151,False,-152812.66944456723,613.8079739192198,211,16.77708101272583,3,Infeasible solution
DALLASS,46,31,False,-100984.03853933114,415.35956062284754,125,0.38700413703918457,3,Infeasible solution
DANIWOOD,2,6,False,0.0,0.7874176628967438,24,0.0014982223510742188,3,Infeasible solution
DANIWOODLS,2,0,True,0.004317421567261796,0.0,25,0.00024056434631347656,3,Function tolerance reached
DANWOOD,2,6,False,0.0,0.9799840329169852,27,0.0016303062438964844,3,Infeasible solution
DANWOODLS,2,0,True,0.004317308562935539,0.0,25,0.00032067298889160156,3,Function tolerance reached
DECONVB,51,0,True,0.0027154388992290416,0.0,161,0.07615208625793457,3,Function tolerance reached
DECONVBNE,51,40,False,0.0,10.504733923790154,31,0.19123220443725586,3,Infeasible solution
DECONVC,51,1,True,0.0035088329352371997,1.6259772159243902e-07,165,0.10674786567687988,3,Function tolerance reached
DECONVNE,51,40,False,0.0,10.504733923794213,31,0.20888853073120117,3,Infeasible solution
DECONVU,51,0,True,4.977649536174103e-07,0.0,170,0.06863141059875488,3,Function tolerance reached
DEGENLPA,20,15,False,0.0,229.4637436765478,20,0.01585698127746582,4,Infeasible solution
DEGENLPB,20,15,False,-533.369,469.9237834506763,7,0.005044698715209961,3,Infeasible solution
DEMBO7,16,20,False,154.82692343141346,0.16123715098499736,22,0.049782752990722656,3,Infeasible solution
DEMYMALO,3,3,False,-4.000000000018051,2.8284271247814443,115,0.008732318878173828,3,Infeasible solution
DENSCHNA,2,0,True,2.4959011721231857e-17,0.0,23,0.0002689361572265625,3,Function tolerance reached
DENSCHNB,2,0,True,2.565063954600623e-12,0.0,12,0.00015735626220703125,3,Function tolerance reached
DENSCHNBNE,2,3,False,0.0,1.4142135623730951,103,0.0028443336486816406,3,Infeasible solution
DENSCHNC,2,0,True,2.304664243737326e-10,0.0,23,0.00029778480529785156,3,Function tolerance reached
DENSCHNCNE,2,2,False,0.0,0.8678335403528291,26,0.0013117790222167969,3,Infeasible solution
DENSCHND,3,0,True,2.629055777574342e-17,0.0,133,0.0017199516296386719,3,Function tolerance reached
DENSCHNDNE,3,3,False,0.0,9121.951545584969,3,0.00013017654418945312,3,Infeasible solution
DENSCHNE,3,0,True,0.9993200210131382,0.0,16,0.0002536773681640625,3,Function tolerance reached
DENSCHNENE,3,3,False,0.0,12.16552506059646,71,0.003003835678100586,3,Infeasible solution
DENSCHNF,2,0,True,8.189175644427047e-12,0.0,17,0.00018095970153808594,3,Function tolerance reached
DENSCHNFNE,2,2,False,0.0,5.641488913579566,16,0.0005118846893310547,3,Infeasible solution
DEVGLA1,4,0,True,4.816289749078395e-06,0.0,68,0.002026081085205078,3,Function tolerance reached
DEVGLA1B,4,0,True,1.4392869148511827e-09,0.0,58,0.0014462471008300781,3,Function tolerance reached
DEVGLA1NE,4,24,False,0.0,188.77976551992043,29,0.009949922561645508,3,Infeasible solution
DEVGLA2,5,0,True,3182.943121425943,0.0,153,0.005394935607910156,3,Function tolerance reached
DEVGLA2B,5,0,False,nan,nan,nan,nan,,Optimization error: 
DEVGLA2NE,5,16,False,0.0,80.87807479184762,31,0.010081291198730469,3,Infeasible solution
DGOSPEC,3,0,True,-996.9591632113847,0.0,9,0.00013875961303710938,3,Function tolerance reached
DIAMON2DLS,66,0,True,13114.342144539378,0.0,25,1.1002593040466309,3,Function tolerance reached
DIAMON3DLS,99,0,True,12608.948488904382,0.0,26,2.041255474090576,3,Function tolerance reached
DIPIGRI,7,4,False,145.28345026684497,15066.69415648647,283,0.034423828125,3,Infeasible solution
DISC2,29,23,False,0.0,103.4842983258813,4,0.007102012634277344,3,Infeasible solution
DISCS,33,66,False,12.0,29.857625793876878,110,0.9244706630706787,3,Infeasible solution
DIXCHLNG,10,5,True,2.6244706594080543e-06,0.00031091685147037923,299,0.03422379493713379,4,Parameter tolerance reached
