problem,n,m,status,obj,constraint,iter,count_cost,total_time,message
EXPFITNE,2,10,0,0.0,0.4904865791462587,84,1000,0.02814316749572754,
EXTRASIM,2,1,-3,5e+19,5e+19,6,49,0.00423121452331543,
FBRAIN2LS,4,0,1,0.36838992703992346,0.0,4,136,0.03406500816345215,
FBRAIN3LS,6,0,1,10.226916307315951,0.0,6,1000,0.33258867263793945,
FBRAINLS,2,0,1,0.41660306347252685,0.0,3,50,0.013005733489990234,
FCCU,19,8,1,11.149931839002498,2.378407580323847e-09,3,445,0.021697521209716797,
FEEDLOC,87,259,0,2.5,82.9053896182035,6,1018,0.20263004302978516,
FLETCHER,4,4,-3,0.0,nan,6,121,0.010528802871704102,
FLT,2,2,0,0.0005665052100849338,1.4337517256564965e-06,87,1000,0.022777318954467773,
FREURONE,2,2,1,0.0,7.658552820963078e-07,88,523,0.019312620162963867,
GAUSS1,8,250,0,0.0,36.31613724826259,50,1000,2.287559986114502,
GAUSS1LS,8,0,1,7369.234474368389,0.0,6,805,0.026867389678955078,
GAUSS2,8,250,0,0.0,35.45625156320156,49,1007,2.896235942840576,
GAUSS2LS,8,0,1,9158.017569408345,0.0,6,121,0.0074253082275390625,
GAUSS3,8,250,0,0.0,35.35087694761299,49,1000,2.2997193336486816,
GAUSS3LS,8,0,1,18899.382269488353,0.0,6,634,0.020786762237548828,
GAUSSIAN,3,0,1,2.452543713203453e-06,0.0,1,8,0.003439188003540039,
GBRAINLS,2,0,1,41.031102560081216,0.0,6,85,0.013491630554199219,
GENHS28,10,8,1,0.9271736998499044,2.2846241677530308e-10,2,78,0.007755279541015625,
GENROSE,500,0,0,1144.7301959197084,0.0,1,1009,0.060573577880859375,
GENROSEB,500,0,0,2758.4621182863657,0.0,1,1003,0.06580448150634766,
GENROSEBNE,500,998,0,0.0,48.92482910107355,1,1002,3.838122606277466,
GIGOMEZ1,3,3,0,2.00001,17.204636584368764,56,1000,0.019872665405273438,
GIGOMEZ2,3,3,0,2.00001,17.99999,56,1000,0.017345428466796875,
GIGOMEZ3,3,3,0,2.00001,17.99999,56,1000,0.0229494571685791,
GMNCASE1,175,300,0,1.2641899635000002e-06,0.12589624908092098,3,1076,0.5001230239868164,
GMNCASE4,175,350,0,5.422997452e-05,9.331177280065774,3,1076,0.4446394443511963,
GOFFIN,51,50,0,0.0,3607.7173791055206,9,1016,0.02774834632873535,
GOTTFR,2,2,1,0.0,4.65274889059501e-07,24,222,0.00934457778930664,
